query_id,q_type,exec_n,exec_time
39,single_bgps,1,0.002954721450805664
39,single_bgps,2,0.0027725696563720703
39,single_bgps,3,0.002737760543823242
40,single_bgps,0,0.005521059036254883
40,single_bgps,1,0.003215312957763672
40,single_bgps,2,0.003153562545776367
40,single_bgps,3,0.0028319358825683594
41,single_bgps,0,0.0056226253509521484
41,single_bgps,1,0.003499746322631836
41,single_bgps,2,0.0034232139587402344
41,single_bgps,3,0.003191709518432617
42,single_bgps,0,0.0066449642181396484
42,single_bgps,1,0.004697322845458984
42,single_bgps,2,0.0040013790130615234
42,single_bgps,3,0.00450587272644043
43,single_bgps,0,13.870342493057251
43,single_bgps,1,11.518127202987671
43,single_bgps,2,13.817400932312012
43,single_bgps,3,11.302578687667847
44,single_bgps,0,0.03171706199645996
44,single_bgps,1,0.004273653030395508
44,single_bgps,2,0.003526926040649414
44,single_bgps,3,0.0033457279205322266
45,single_bgps,0,0.01969599723815918
45,single_bgps,1,0.01793813705444336
45,single_bgps,2,0.017589569091796875
45,single_bgps,3,0.01830887794494629
46,single_bgps,0,10.57219123840332
46,single_bgps,1,11.856574773788452
46,single_bgps,2,11.413854837417603
46,single_bgps,3,10.953724384307861
47,single_bgps,0,0.8836250305175781
47,single_bgps,1,0.8056743144989014
47,single_bgps,2,0.8609671592712402
47,single_bgps,3,0.9171130657196045
48,single_bgps,0,0.4617342948913574
48,single_bgps,1,0.4576716423034668
48,single_bgps,2,0.43056559562683105
48,single_bgps,3,0.4264204502105713
49,single_bgps,0,11.441916942596436
49,single_bgps,1,11.49777102470398
49,single_bgps,2,11.134489059448242
49,single_bgps,3,11.257522821426392
50,single_bgps,0,11.812670230865479
50,single_bgps,1,11.168334722518921
50,single_bgps,2,11.531322002410889
50,single_bgps,3,11.47546100616455
51,single_bgps,0,22.209940433502197
51,single_bgps,1,20.912667512893677
51,single_bgps,2,21.389049291610718
51,single_bgps,3,21.496976137161255
52,single_bgps,0,0.11097955703735352
52,single_bgps,1,0.07607078552246094
52,single_bgps,2,0.07904362678527832
52,single_bgps,3,0.07764601707458496
53,single_bgps,0,21.756131649017334
53,single_bgps,1,21.014836072921753
53,single_bgps,2,21.32044768333435
53,single_bgps,3,21.88343334197998
54,single_bgps,0,0.03939080238342285
54,single_bgps,1,0.0031752586364746094
54,single_bgps,2,0.0030221939086914062
54,single_bgps,3,0.003499746322631836
55,single_bgps,0,0.028519868850708008
55,single_bgps,1,0.02178502082824707
55,single_bgps,2,0.022806406021118164
55,single_bgps,3,0.022085905075073242
56,single_bgps,0,0.1882028579711914
56,single_bgps,1,0.18258285522460938
56,single_bgps,2,0.18291950225830078
56,single_bgps,3,0.18642854690551758
57,single_bgps,0,0.03331732749938965
57,single_bgps,1,0.030015945434570312
57,single_bgps,2,0.029371023178100586
57,single_bgps,3,0.028956174850463867
58,single_bgps,0,0.1253962516784668
58,single_bgps,1,0.1220548152923584
58,single_bgps,2,0.12270188331604004
58,single_bgps,3,0.12476134300231934
59,single_bgps,0,0.033577919006347656
59,single_bgps,1,0.030100345611572266
59,single_bgps,2,0.028968095779418945
59,single_bgps,3,0.0293581485748291
60,single_bgps,0,0.019791841506958008
60,single_bgps,1,0.018248558044433594
60,single_bgps,2,0.018162965774536133
60,single_bgps,3,0.018471717834472656
61,single_bgps,0,0.8511693477630615
61,single_bgps,1,0.8527853488922119
61,single_bgps,2,0.82875657081604
61,single_bgps,3,0.8519227504730225
62,single_bgps,0,0.021447181701660156
62,single_bgps,1,0.012122392654418945
62,single_bgps,2,0.011923789978027344
62,single_bgps,3,0.011252403259277344
63,single_bgps,0,22.518329620361328
