query_id,q_type,exec_n,exec_time
30,single_bgps,1,0.0028095245361328125
30,single_bgps,2,0.002831697463989258
30,single_bgps,3,0.0027916431427001953
31,single_bgps,0,0.0030689239501953125
31,single_bgps,1,0.002921581268310547
31,single_bgps,2,0.0028839111328125
31,single_bgps,3,0.0027561187744140625
32,single_bgps,0,0.0368649959564209
32,single_bgps,1,0.03256416320800781
32,single_bgps,2,0.03247427940368652
32,single_bgps,3,0.03258800506591797
33,single_bgps,0,0.004086017608642578
33,single_bgps,1,0.0034067630767822266
33,single_bgps,2,0.0033664703369140625
33,single_bgps,3,0.0033957958221435547
34,single_bgps,0,0.003898143768310547
34,single_bgps,1,0.003597259521484375
34,single_bgps,2,0.003297567367553711
34,single_bgps,3,0.0032320022583007812
35,single_bgps,0,0.018245935440063477
35,single_bgps,1,0.016830921173095703
35,single_bgps,2,0.017082929611206055
35,single_bgps,3,0.016788959503173828
36,single_bgps,0,0.0046770572662353516
36,single_bgps,1,0.003917217254638672
36,single_bgps,2,0.0038857460021972656
36,single_bgps,3,0.004043102264404297
37,single_bgps,0,0.005753993988037109
37,single_bgps,1,0.004656076431274414
37,single_bgps,2,0.003848552703857422
37,single_bgps,3,0.003946542739868164
38,single_bgps,0,0.00324249267578125
38,single_bgps,1,0.003078460693359375
38,single_bgps,2,0.0027115345001220703
38,single_bgps,3,0.002971172332763672
39,single_bgps,0,0.003261089324951172
39,single_bgps,1,0.003418445587158203
39,single_bgps,2,0.002798795700073242
39,single_bgps,3,0.003245830535888672
40,single_bgps,0,0.0033309459686279297
40,single_bgps,1,0.0030159950256347656
40,single_bgps,2,0.003812074661254883
40,single_bgps,3,0.002911090850830078
41,single_bgps,0,0.0039403438568115234
41,single_bgps,1,0.0036983489990234375
41,single_bgps,2,0.0033729076385498047
41,single_bgps,3,0.00289154052734375
42,single_bgps,0,0.005433320999145508
42,single_bgps,1,0.004919528961181641
42,single_bgps,2,0.004004001617431641
42,single_bgps,3,0.0041599273681640625
43,single_bgps,0,11.439083576202393
43,single_bgps,1,11.138366937637329
43,single_bgps,2,10.297590255737305
43,single_bgps,3,10.64995288848877
44,single_bgps,0,0.02892780303955078
44,single_bgps,1,0.0038607120513916016
