,query_id,exec_n,exec_time,results
119,P399,3,5.569895267486572,
120,P280,0,0.008723020553588867,
121,P280,1,0.0040645599365234375,
122,P280,2,0.004019975662231445,
123,P280,3,0.004624843597412109,
124,P242,0,0.5690436363220215,
125,P242,1,0.5549502372741699,
126,P242,2,0.554236650466919,
127,P242,3,0.5554959774017334,
128,P249,0,0.005685091018676758,
129,P249,1,0.003988027572631836,
130,P249,2,0.003887176513671875,
131,P249,3,0.0032172203063964844,
132,P253,0,2.3797898292541504,
133,P253,1,0.010320186614990234,
134,P253,2,0.008777379989624023,
135,P253,3,0.008302450180053711,
136,P349,0,0.013402462005615234,
137,P349,1,0.0039424896240234375,
138,P349,2,0.0036401748657226562,
139,P349,3,0.0036437511444091797,
140,P269,0,46.69128966331482,
141,P269,1,43.03222990036011,
142,P269,2,42.56934881210327,
143,P269,3,41.864232301712036,
144,P313,0,0.0,timed out
145,P313,1,0.0,timed out
146,P313,2,0.0,timed out
147,P313,3,0.0,timed out
148,P321,0,0.04267382621765137,
149,P321,1,0.00413060188293457,
150,P321,2,0.0035049915313720703,
151,P321,3,0.0031557083129882812,
152,P343,0,0.617161750793457,
153,P343,1,0.4981417655944824,
154,P343,2,0.5041983127593994,
155,P343,3,0.49013781547546387,
156,P212,0,0.04856729507446289,
157,P212,1,0.01572585105895996,
158,P212,2,0.015503168106079102,
159,P212,3,0.015666723251342773,
160,P396,0,30.514789819717407,
161,P396,1,28.754592180252075,
162,P396,2,28.276179552078247,
163,P396,3,27.98750329017639,
164,P375,0,0.09717345237731934,
165,P375,1,0.011987447738647461,
166,P375,2,0.010727882385253906,
167,P375,3,0.0102996826171875,
168,P271,0,0.0242612361907959,
169,P271,1,0.005564212799072266,
170,P271,2,0.004516124725341797,
171,P271,3,0.004266500473022461,
172,P188,0,0.49802231788635254,
173,P188,1,0.4814944267272949,
174,P188,2,0.4815833568572998,
175,P188,3,0.4821341037750244,
176,P334,0,0.008731842041015625,
177,P334,1,0.005365610122680664,
178,P334,2,0.003822803497314453,
179,P334,3,0.0041081905364990234,
180,P392,0,32.66858792304993,
181,P392,1,24.16564679145813,
182,P392,2,23.934269189834595,
183,P392,3,24.148945808410645,
184,P248,0,42.49839997291565,
185,P248,1,41.005502462387085,
186,P248,2,42.54444360733032,
187,P248,3,41.100056886672974,
188,P270,0,0.03428459167480469,
189,P270,1,0.004308938980102539,
190,P270,2,0.003061532974243164,
191,P270,3,0.005293846130371094,
192,P338,0,3.7328696250915527,
193,P338,1,0.008508443832397461,
194,P338,2,0.011113405227661133,
195,P338,3,0.008327007293701172,
196,P267,0,4.789319753646851,
197,P267,1,3.2941343784332275,
198,P267,2,3.4586358070373535,
199,P267,3,3.4230802059173584,
200,P265,0,8.281313419342041,
201,P265,1,8.185657501220703,
202,P265,2,8.271551609039307,
203,P265,3,8.213606595993042,
204,P312,0,0.062334537506103516,
205,P312,1,0.004362344741821289,
206,P312,2,0.003331899642944336,
207,P312,3,0.004749774932861328,
208,P354,0,0.2818417549133301,
209,P354,1,0.00830388069152832,
210,P354,2,0.006295919418334961,
211,P354,3,0.005685567855834961,
212,P204,0,160.3297197818756,
213,P204,1,159.39722681045532,
214,P204,2,159.77613258361816,
215,P204,3,160.8902759552002,
216,P381,0,0.05167889595031738,
217,P381,1,0.005879640579223633,
218,P381,2,0.0052564144134521484,
219,P381,3,0.004320859909057617,
220,P287,0,23.36624836921692,
221,P287,1,19.035613775253296,
222,P287,2,22.011373043060303,
223,P287,3,20.334339141845703,
224,P290,0,0.6138079166412354,
225,P290,1,0.5477056503295898,
226,P290,2,0.5679070949554443,
227,P290,3,0.6145718097686768,
228,P196,0,0.009629249572753906,
229,P196,1,0.004942417144775391,
230,P196,2,0.005139827728271484,
231,P196,3,0.004090309143066406,
232,P236,0,0.06540751457214355,
233,P236,1,0.023029804229736328,
234,P236,2,0.02270793914794922,
235,P236,3,0.022095203399658203,
236,P397,0,0.1035301685333252,
237,P397,1,0.09795904159545898,
238,P397,2,0.09964704513549805,
239,P397,3,0.09635710716247559,
240,P281,0,0.014278411865234375,
241,P281,1,0.0048525333404541016,
242,P281,2,0.00426936149597168,
243,P281,3,0.0037245750427246094,
244,P266,0,0.0370638370513916,
245,P266,1,0.0058727264404296875,
246,P266,2,0.005231380462646484,
247,P266,3,0.004601478576660156,
248,P256,0,36.224809646606445,
249,P256,1,33.30298900604248,
250,P256,2,34.09889078140259,
251,P256,3,31.89179825782776,
252,P259,0,0.04018211364746094,
253,P259,1,0.004959583282470703,
254,P259,2,0.004302978515625,
255,P259,3,0.003865480422973633,
256,P300,0,0.0070836544036865234,
257,P300,1,0.004815101623535156,
258,P300,2,0.00379180908203125,
259,P300,3,0.0034623146057128906,
260,P309,0,0.030221223831176758,
261,P309,1,0.006386280059814453,
262,P309,2,0.005544185638427734,
263,P309,3,0.004502058029174805,
264,P252,0,0.968256950378418,
265,P252,1,0.03248739242553711,
266,P252,2,0.0341792106628418,
267,P252,3,0.03397107124328613,
268,P257,0,0.02355647087097168,
269,P257,1,0.022417306900024414,
270,P257,2,0.022140026092529297,
271,P257,3,0.02195572853088379,
272,P278,0,0.4961371421813965,
273,P278,1,0.4901161193847656,
274,P278,2,0.4900496006011963,
275,P278,3,0.48549771308898926,
276,P329,0,0.04178786277770996,
277,P329,1,0.005412101745605469,
278,P329,2,0.004679679870605469,
279,P329,3,0.004186868667602539,
280,P350,0,0.012501239776611328,
281,P350,1,0.005480766296386719,
282,P350,2,0.005605459213256836,
283,P350,3,0.0050427913665771484,
284,P379,0,107.88392233848572,
285,P379,1,99.64090633392334,
286,P379,2,97.45876407623291,
287,P379,3,93.68589735031128,
288,P250,0,0.025495529174804688,
289,P250,1,0.004757404327392578,
290,P250,2,0.0037806034088134766,
291,P250,3,0.003581523895263672,
292,P325,0,0.014738082885742188,
293,P325,1,0.005460500717163086,
294,P325,2,0.004710197448730469,
295,P325,3,0.004531383514404297,
296,P310,0,3.109797716140747,
297,P310,1,3.3883063793182373,
298,P310,2,3.0760579109191895,
299,P310,3,3.481959819793701,
300,P197,0,18.32157588005066,
301,P197,1,11.382143020629883,
302,P197,2,10.605010986328125,
303,P197,3,11.327332019805908,
304,P183,0,0.017658233642578125,
305,P183,1,0.00402522087097168,
306,P183,2,0.0036933422088623047,
307,P183,3,0.0036203861236572266,
308,P307,0,0.6271185874938965,
309,P307,1,0.5585379600524902,
310,P307,2,0.5560381412506104,
311,P307,3,0.5651907920837402,
312,P327,0,0.05152750015258789,
313,P327,1,0.006139516830444336,
314,P327,2,0.005589962005615234,
315,P327,3,0.004564523696899414,
316,P284,0,0.009517431259155273,
